crawl_date,avg_polarity,avg_subjectivity,min_polarity,min_subjectivity,max_subjectivity,max_polarity
2020-04-08,0.14679424070998448,0.42260731070626334,-0.5,0.0,1.0,0.595200892857143
2020-04-09,0.13777220336374044,0.4123555361648241,-0.4499999999999999,0.2011968963240151,0.6,0.3905009327295511
2020-04-17,0.15311406965333407,0.3705443592485123,-0.75,0.0,1.0,1.0
2020-04-18,0.1547876432912419,0.4108733586640874,-0.5,0.111087620389946,0.725,0.5196969696969697
2020-04-24,0.13459887722767186,0.3711677322292828,-0.7,0.0,1.0,1.0
2020-04-25,0.13554696901276073,0.3896751840689125,-0.2,0.0,1.0,0.5401789413386086
2020-04-29,0.16413062099142092,0.3718694581329667,-0.0470943198215925,0.0,0.6553030303030303,0.78125
2020-05-04,0.14485752349446046,0.3706112259304179,-0.75,0.0,1.0,1.0
2020-05-05,0.14772397198940562,0.41637589205086184,0.0,0.2272727272727272,0.6096683218742055,0.5401789413386086
2020-05-15,0.12098445284215023,0.3589706252098646,-0.7,0.0,1.0,1.0
2020-05-16,0.1385773665401624,0.3737901209161606,-0.75,0.0,1.0,0.5383304665007557
2020-05-22,0.14414503659656483,0.36571167101217855,-0.75,0.0,1.0,1.0
2020-05-23,0.15339246574207127,0.39609047268812514,-0.5,0.0,1.0,0.6092105263157894
2020-05-24,0.14524879870206656,0.40183890421735197,-0.3,0.1217676767676767,0.6772727272727272,0.4296717171717172
2020-05-25,0.13415277894877536,0.38933795175015884,-0.3,0.1487871916443345,0.6,0.3584390987800078
2020-05-27,0.05878639087359952,0.37828420652454536,-0.2,0.0,0.5855714285714286,0.395773524720893
2020-05-29,0.13383641051033035,0.36611332070632696,-0.75,0.0,1.0,1.0
2020-05-30,0.16780119039693564,0.3965133743724437,-0.5,0.0,1.0,0.6092105263157894
2020-05-31,0.19154125757935253,0.41704047349888174,-0.5,0.1712770562770562,0.7753113359508716,0.4594919786096257
2020-06-01,0.145632278298682,0.4080113352926261,-0.2,0.201082251082251,0.6,0.3292929292929293
